flsa_id,t5income,t9income,t5sie01,t5sie02,t5sie04,t5sie05,t5sie06,t5sie07,t5sie08,t5sie09,t5sie11,T5SIE8,T5SIE9,T5SIEA,t5sie12,T5SIE6,T5SIE7,t5sie13,t5sie14,t5sie15,t5sie16,t5sie17,t5sie18,t5sie19,t5sie20,t5sie21,t5sie22,t5sie23,t5sie24,T5SIE3,T5SIE4,T5SIE5,t5sie25,t5sie26,t5sie27,T5SIE0,T5SIE1,T5SIE2,t5sie03a,t5sie03b,t5sie03c,t5sie03d,t5sie03e,t5sie03f,t5sie03g,t5sie03h,t5sie03i,t5sie03j,t5sie03k,t5sie05_o,t5sie10a,t5sie10b,t5sie10c,t5sie10d,t5sie10e,t5sie10f,t5sie10g,t5sie10h,t5sie10i,t5sie10i_o,t5sie10j,t5sie10j_o,t5sie25_o,t9sie01,t9sie02,t9sie04,t9sie05,t9sie06,t9sie07,t9sie08,t9sie09,t9sie11,T9SIE4,T9SIE5,T9SIE6,T9SIE7,t9sie12,T9SIE3,t9sie13,t9sie14,t9sie15,t9sie16,t9sie17,t9sie18,t9sie19,t9sie20,t9sie21,t9sie22,t9sie23,t9sie24,T9SIE1,T9SIE2,t9sie25,t9sie26,t9sie27,T9SIE0,t9sie03a,t9sie03b,t9sie03c,t9sie03d,t9sie03e,t9sie03f,t9sie03g,t9sie03h,t9sie03i,t9sie03j,t9sie03k,t9sie05_o,t9sie10a,t9sie10b,t9sie10c,t9sie10d,t9sie10e,t9sie10f,t9sie10g,t9sie10h,t9sie10i,t9sie10i_o,t9sie10j,t9sie10j_o,t9sie25_o
1,"$50K-$74,999",NA,Usually,Rarely,yes,Barack Obama,Democrat,liberal,"yes, in last 12 months","yes, in last 12 months","-health organizations - crohn's and colitis foundation, national multiple sclerosis, epilepsy, -  fundraising, walks, educational or public awareness events / -holocaust museum, national women's museum, local theaters - public awareness activities, donati","ons, usher/docent, group trips / -medical reserve corps - medical support for chicago marathon, community health activities including flu shot clinics, disaster training/planning                                                                             ",                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,"no others at this time. / previously - parent/teacher group, girl scouts, volunteer art teacher, animal shelter assistant, after-school programs                                                                                                               ",                                                                                                                                                                                                                                                               ,                                                                                                               ,never,rarely or never,tends not to be true,tends not to be true,tends not to be true,not at all religious,not at all,somewhat,somewhat,rarely,rarely,none                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,Jewish,                                                                                                         ,none                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,yes but not within the last 12 months,no,no,yes but not within the last 12 months,"yes, within the last 12 months",no,yes but not within the last 12 months,"yes, within the last 12 months","yes, within the last 12 months",no,yes but not within the last 12 months,                        ,"yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months","yes, I have volunteered in the last 12 months","yes, volunteered but not in the last 12 months","yes, I have volunteered in the last 12 months",3,medical reserve corps                                 ,"yes, I have volunteered in the last 12 months",red cross                         ,                                                             ,NA,NA,NA,NA,NA,NA,NA,NA,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,                                                                                                                                                                                                                                                               ,                                                                                                                                                          ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,NA,                                                                                                                                        ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                           ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,               ,NA,NA,NA,NA,NA,NA,NA,NA,NA,                                                           ,NA,                        ,                                                     
2,"$275K-$300,000","$150K-$174,999",Usually,Sometimes,yes,Barack Obama,Democrat,somewhat liberal,"yes, in last 12 months","yes, but not in last 12 months",                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,"Just retired, no volunteer work yet                                                                                                                                                                                                                            ",                                                                                                                                                                                                                                                               ,                                                                                                               ,once a year or less,rarely or never,unsure,tends not to be true,tends not to be true,not very religious,not very,somewhat,somewhat,sometimes,rarely,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,Jewish,Beth Isreal                                                                                              ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,"yes, within the last 12 months","yes, within the last 12 months","yes, within the last 12 months",yes but not within the last 12 months,no,yes but not within the last 12 months,yes but not within the last 12 months,yes but not within the last 12 months,yes but not within the last 12 months,yes but not within the last 12 months,no,                        ,"yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months",no involvement,no involvement,"yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months",no involvement,no involvement,NA,                                                      ,NA,                                  ,                                                             ,Always,Usually,Yes,Hillary Clinton,Independent,Somewhat liberal,"Yes, in the last 12 months","Yes, in the last 12 months","March of dimes, walk for donations, pancreatic cancer, walkathon and donation, DNA of Savannah, ga. Support and participate in monthly meetings                                                                                                                ",                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,                                                                                                                                                                                                                                                               ,                                                                                                                                                          ,Once a year or less,Rarely or never,Unsure,Unsure,Tends not to be true,Not at all religious,Not very important,Somewhat spiritual,Somewhat important,Sometimes,Never,N/a                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,Jewish,Beth Israel                                                                                                                             ,"DNA Savannah, Ga                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                           ,"Yes, but not within the last 12 months","Yes, but not within the last 12 months","Yes, within the last 12 months",No,No,"Yes, but not within the last 12 months","Yes, but not within the last 12 months","Yes, within the last 12 months","Yes, but not within the last 12 months","Yes, but not within the last 12 months",No,               ,"Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, in the last 12 months",Religious                                                  ,NA,                        ,                                                     
3,"$225K-$249,999","$275K-$300,000",Always,Usually,yes,Barack Obama,Democrat,very liberal,"yes, but not in last 12 months","yes, but not in last 12 months",League of Women Voters of Evanston and Illinois.  I was on board for 4 years at state level; this year I chair the nominating committee.  Also somewhat active at local level /  / Volunteer to register voters/moderate debates/run informational programs/lob,by                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,I teach a GED class  two times a week at Dist 65 through Oakton CC sponsored program.                                                                                                                                                                          ,                                                                                                                                                                                                                                                               ,                                                                                                               ,never,rarely or never,tends not to be true,unsure,tends to be true,not very religious,not at all,not at all,not at all,never,sometimes,None                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,Christian - protestant,                                                                                                         ,"Toastmasters Inc, local club = Niles Township  --club to encourage public speaking,  I have belonged and participated regularly for 1 1/2 years                                                                                                                ",                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,yes but not within the last 12 months,"yes, within the last 12 months","yes, within the last 12 months",yes but not within the last 12 months,no,no,yes but not within the last 12 months,"yes, within the last 12 months","yes, within the last 12 months","yes, within the last 12 months",yes but not within the last 12 months,                        ,"yes, volunteered but not in the last 12 months","yes, I have volunteered in the last 12 months","yes, volunteered but not in the last 12 months","yes, I have volunteered in the last 12 months","yes, I have volunteered in the last 12 months",no involvement,no involvement,"yes, I have volunteered in the last 12 months",3,League of Women Voters                                ,3,Chicago Humanties Festival        ,                                                             ,Always,Usually,Yes,Hillary Clinton,Democrat,Very liberal,"Yes, in the last 12 months","Yes, in the last 12 months",I have volunteered with the League of Women Voters for over 20 years.  They are non-partisan organization dedicated to informing voters and working to have people pay monitor government and  elected officials.....                                          ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,I spent several years volunteering to  teaching GED--General education course--to get high school diploma thorugh Oakton Community college.  I have also volunteered  at the Newberry Library and for the Northshore Sculpture Park. For local public schools a,nd PTA and cub scouts......                                                                                                                               ,Never,Rarely or never,Tends not to be true,Definitely not true,Unsure,Not at all religious,Not at all important,Not very spiritual,Not very important,Never,Rarely,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,Christian - Protestant,                                                                                                                                        ,I am a long-term member of the Chicago Map society and currently serve a three year term on their board--with a focus on membership.  We meet once a month.  I am also doing same job on the union board at work.                                              ,                                                                                                                                                                                                                                                           ,"Yes, within the last 12 months","Yes, within the last 12 months","Yes, within the last 12 months","Yes, within the last 12 months","Yes, but not within the last 12 months",No,"Yes, within the last 12 months","Yes, within the last 12 months","Yes, within the last 12 months","Yes, within the last 12 months","Yes, but not within the last 12 months",               ,"Yes, I have volunteered for this organization, in the last 12 months","Yes, I have volunteered for this organization, in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,"Yes, I have volunteered for this organization, in the last 12 months","Yes, I have volunteered for this organization, in the last 12 months","Yes, I have volunteered for this organization, in the last 12 months",League of Women Voters                                     ,NA,                        ,                                                     
4,"$100K-$124,999","$125K-$149,999",Always,Sometimes,yes,Barack Obama,Democrat,middle of the road,no,"yes, but not in last 12 months",Habitat for Humanity- our synagogue had a fundraiser for this organization. I was on the committee. /  / I had done volunteer tutoring many years ago- one on one. /  / I helped with my daughter with Relay with Life years ago.                              ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,I used to volunteer at my synagogue until the office space closed.                                                                                                                                                                                             ,                                                                                                                                                                                                                                                               ,                                                                                                               ,a few times a month,a few times a month,tends to be true,tends to be true,tends to be true,somewhat religious,somewhat,somewhat,somewhat,sometimes,sometimes, I help out a little with fundraising and other miscellaneous things every so often                                                                                                                                                                            ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,Jewish,Anshe Tikvah                                                                                             ,Book Club. We meet every other month. We have a discussion that lasts about 60-90 minutes.                                                                                                                                                                     ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,yes but not within the last 12 months,no,yes but not within the last 12 months,no,no,no,no,yes but not within the last 12 months,yes but not within the last 12 months,yes but not within the last 12 months,no,                        ,no involvement,no involvement,"yes, volunteered but not in the last 12 months",no involvement,"yes, volunteered but not in the last 12 months","yes, volunteered but not in the last 12 months",no involvement,no involvement,no involvement,                                                      ,"yes, volunteered but not in the last 12 months",                                  ,                                                             ,Always,Rarely,Yes,Hillary Clinton,Democrat,Somewhat liberal,No,"Yes, but not in the last 12 months",I am not involved now                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,Helped at a soup kitchen once                                                                                                                                                                                                                                  ,                                                                                                                                                          ,A few times a year,A few times a month,Tends to be true,Unsure,Tends to be true,Not very religious,Somewhat important,Somewhat spiritual,Somewhat important,Sometimes,Sometimes,Not currently involved                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,Jewish,Anshe Tikvah                                                                                                                            ,"Book club every other month. We discuss a book
Maj Jong. We play twice a week                                                                                                                                                                                  ",                                                                                                                                                                                                                                                           ,No,No,No,No,No,No,No,"Yes, but not within the last 12 months","Yes, but not within the last 12 months",No,"Yes, but not within the last 12 months",               ,No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months",Abusive women                                              ,No involvement,                        ,                                                     
5,"$75K-$99,999","$50K-$74,999",Always,Rarely,yes,Mitt Romney,Republican,somewhat conservative,"yes, but not in last 12 months","yes, in last 12 months","Currently, I am active in Friends of the Library which holds book sales four times a year.  I help set up for all of the sales volunteering between 2-5 hours for each sale.  I work in the library and when I can I tell patrons to either donate books or to ",attend the book sales. /                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,"None--I was very active in PTA and school activities when my children were in elementary school, and was very active with my son's Cub/Boy Scout troops.  Since my children have left home, Friends of the Library is the only organization I donate my time to",.                                                                                                                                                                                                                                                              ,                                                                                                               ,never,rarely or never,tends not to be true,tends not to be true,definitely not true,not at all religious,not at all,somewhat,somewhat,rarely,never,None                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,Christian - protestant,                                                                                                         ,None.                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,no,no,no,no,no,no,no,yes but not within the last 12 months,"yes, within the last 12 months","yes, within the last 12 months",no,                        ,no involvement,no involvement,no involvement,no involvement,"yes, volunteered but not in the last 12 months",no involvement,no involvement,no involvement,3,Friends of the Library                                ,"yes, I have volunteered in the last 12 months",Boy Scouts                        ,                                                             ,Always,Rarely,Yes,Donald Trump,Republican,Conservative,"Yes, but not in the last 12 months","Yes, in the last 12 months",I volunteer to help set up for four book sales held throughout the year at the library.  I am open (but have been rarely contacted) to working during the sales.                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,(Can't think of any)                                                                                                                                                                                                                                           ,                                                                                                                                                          ,Never,Rarely or never,Unsure,Definitely not true,Definitely not true,Not at all religious,Not at all important,Not very spiritual,Not very important,Never,Never,(none)                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,Christian - Protestant,                                                                                                                                        ,The Friends of the Library--helping to set up book sales                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                           ,No,No,No,No,No,No,No,No,"Yes, within the last 12 months",No,No,               ,No involvement,No involvement,No involvement,No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,No involvement,No involvement,"Yes, I have volunteered for this organization, in the last 12 months",Friends of the Library                                     ,No involvement,                        ,                                                     
6,"$100K-$124,999","$100K-$124,999",Usually,Rarely,yes,Mitt Romney,Independent,middle of the road,"yes, in last 12 months","yes, but not in last 12 months",Court appointed special advocate in DuPage County/following one case at a time of a juvenile who has been removed from her or his home until she is either returned or adopted or the court ase is closed. /  / Also volunteer once a year to work the Winnetka, Rummage sales that raises money for  multiple charities.                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                     ,Worked with ESSE for seniors when my mother was being helped there.                                                                                                                                                                                            ,                                                                                                                                                                                                                                                               ,                                                                                                               ,never,rarely or never,tends not to be true,definitely not true,definitely not true,not at all religious,not at all,not very,not very,rarely,never,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                    ,none,                                                                                                         ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               , ,no,no,no,no,no,no,no,yes but not within the last 12 months,no,no,no,                        ,no involvement,"yes, volunteered but not in the last 12 months","yes, I have volunteered in the last 12 months","yes, I have volunteered in the last 12 months",no involvement,NA,no involvement,no involvement,3,CASA                                                  ,"yes, volunteered but not in the last 12 months",                                  ,                                                             ,Always,Rarely,Yes,Donald Trump,Independent,Middle of the road (neither conservative nor liberal),No,"Yes, but not in the last 12 months",I volunteered for CASA I was an advocate who was assigned a case to follow a juvenile through involvement with the judicial system. I did it for at least 5 years. However when I became a full time care taker for my elderly mother I left the organization. ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                    ,                                                                                                                                                                                                                                                               ,                                                                                                                                                          ,Never,Rarely or never,Tends not to be true,Tends not to be true,Tends not to be true,Not very religious,Not very important,Not very spiritual,Not very important,Rarely,Never,none                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                               ,                                                                                                                              ,None,none                                                                                                                                    ,none                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                           ,No,No,No,No,No,No,No,"Yes, but not within the last 12 months",No,No,No,               ,No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,No involvement,"Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months","Yes, I have volunteered for this organization, but not in the last 12 months",No involvement,                                                           ,No involvement,                        ,                                                     
