ID,hcscore,,,,
1,5.0,,,,
2,4.0,,,,
3,5 ,,,,
4,2.0,,,,
5,3.0,,,,
6,2.0,,,,
7,2.0,,,,
8,4.0,,,,
9,1.0,,,,
11,4.0,,,,
12,3.0,,,,
13,3.0,,,,
14,4.0,,,,
16,5.0,,,,
18,5.0,,,,
19,2.0,,,,
20,1.0,,,,
21,3.0,,,,
22,2.0,,,,
23,3 ,,,,
24,3.0,,,,
25,3.0,,,,
26,3.0,,,,
29,3.0,,,,
31,NA,,,,
32,4.0,,,,
33,2.0,,,,
34,3.0,,,,
35,1.0,,,,
36,3.0,,,,
37,3.0,,,,
38,5.0,,,,
39,3.0,,,,
40,2.0,,,,
41,3.0,,,,
43,5.0,,,,
45,4.0,,,,
47,2.0,,,,
49,5.0,,,,
50,1.0,,,,
51,3.5,,,,
52,2.0,,,,
53,2.0,,,,
54,1.0,,,,
55,4.0,,,,
56,4.0,,,,
57,4.5,,,,
58,2.5,,,,
59,3.0,,,,
60,1.0,,,,
61,2.5,,,,
62,3.0,,,,
63,1.0,,,,
64,NA,,,,
65,1.0,,,,
66,4.0,,,,
68,3.0,,,,
69,5.0,,,,
70,4.0,,,,
71,4.0,,,,
75,3.0,,,,
76,3.5,,,,
77,5.0,,,,
78,3.0,,,,
79,5.0,,,,
80,5.0,,,,
81,4.0,,,,
82,4.5,,,,
84,3.0,,,,
85,3.0,,,,
86,1.0,,,,
87,4.0,,,,
88,4.5,,,,
89,5.0,,,,
90,2.5,,,,
91,3.0,,,,
92,3.5,,,,
94,1.0,,,,
96,3.0,,,,
97,5.0,,,,
98,3.5,,,,
99,2.0,,,,
100,3.0,,,,
102,5.0,,,,
104,2.0,,,,
106,3.0,,,,
107,5.0,,,,
108,4.0,,,,
109,4.0,,,,
111,4.0,,,,
112,4.0,,,,
113,3.0,,,,
114,4.5,,,,
116,2.0,,,,
117,3.0,,,,
118,4.0,,,,
119,4.0,,,,
120,4.0,,,,
121,1.5,,,,
122,5.0,,,,
123,4.0,,,,
124,NA,,,,
125,3.5,,,,
126,4.0,,,,
128,2.0,,,,
129,NA,,,,
130,3.0,,,,
131,2.0,,,,
132,2.0,,,,
133,2.5,,,,
134,3.0,,,,
135,2.5,,,,
137,4.0,,,,
139,4.0,,,,
140,3.0,,,,
141,2.5,,,,
142,1.0,,,,
143,2.0,,,,
145,4.0,,,,
146,4.0,,,,
147,2.5,,,,
149,1.0,,,,
150,2.0,,,,
152,3.0,,,,
154,3.0,,,,
155,4.0,,,,
156,4.0,,,,
157,4.0,,,,
159,5.0,,,,
160,3.0,,,,
161,3.0,,,,
162,3.0,,,,
163,3.0,,,,
