"","ID","hcscore","psm_m","gender","race","education","pwb_pmean","pwb_pmc","pwb_z","neur","extra","consc","agree","open","neur_z","extra_z","consc_z","agree_z","open_z","iwah_a","iwah_c","iwah_w","iwah_m","lgs_m_t1","lgs_m_t5","lgs_m_t9","lgs._t_t1","lgs._t_t5","lgs._t_t9","income_t1","income_t2","income_t3","income_t4","income_t5","income_t6","income_t7","income_t8","income_t9","ag_m_t1","ag_m_t5","ag_m_t9","con_m_t1","con_m_t5","con_m_t9","ext_m_t1","ext_m_t5","ext_m_t9","neuro_m_t1","neuro_m_t5","neuro_m_t9","open_m_t1","open_m_t5","open_m_t9"
"1",1,5,3.625,1,1,2,4.104761905,0.538095238,-0.372586284,3.416666667,3.166666667,3.208333333,4,4.291666667,1.732882347,-0.582137355,-1.287722436,0.165588325,1.707158002,NA,NA,NA,NA,2.35,2.05,NA,47,41,NA,3,3,2,2,3,NA,NA,NA,NA,4.08333333,3.91666667,NA,3.08333333,3.33333333,NA,3.33333333,3,NA,3.33333333,3.5,NA,4.33333333,4.25,NA
"2",2,4,3.16666667,1,1,2,5.216931217,0.425925926,1.101015181,2.083333333,3.583333333,3.638888889,3.805555556,3.833333333,-0.355267388,0.269458194,-0.480874548,-0.291110439,0.730757808,3.666666667,3.333333333,3,3.333333333,2.15,1.65,2.1,43,33,42,9,9,9,8,12,8,9,6,7,3.91666667,3.83333333,3.66666667,3.5,3.66666667,3.75,3.58333333,3.66666667,3.5,1.91666667,2.33333333,2,4.25,3.66666667,3.58333333
"3",3,NA,3.83333333,1,1,4,5.08994709,-0.066137566,0.188785703,1.916666667,3.611111111,4.027777778,3.916666667,3.333333333,-0.616286105,0.32623123,0.247891287,-0.030139717,-0.334406039,3.222222222,3.777777778,3,3.333333333,1.85,1.95,1.9,37,39,38,9,8,9,8,10,12,13,11,12,3.83333333,3.91666667,4,4,3.91666667,4.16666667,3.66666667,3.5,3.66666667,1.75,2,2,3.25,3.16666667,3.58333333
"4",4,2,3.20833333,1,1,3,4.87037037,-0.013227513,-0.056814541,2.555555556,3.555555556,4.027777778,3.527777778,3.027777778,0.384285643,0.212685157,0.247891287,-0.943537245,-0.985339502,4,3.666666667,3.777777778,3.814814815,1.7,1.7,2.1,34,34,42,4,13,13,4,5,6,6,6,6,3.5,3.41666667,3.66666667,4.16666667,3.83333333,4.08333333,3.5,3.58333333,3.58333333,2.66666667,2.66666667,2.33333333,2.91666667,3,3.16666667
"5",5,3,2.5,1,1,3,3.687830688,-0.44973545,-2.442645485,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,3.666666667,2.777777778,1.888888889,2.777777778,1.35,0.9,0.95,27,18,19,4,3,3,2,4,4,5,3,3,3.58333333,3.75,3.5,3.75,3.16666667,3.58333333,2.25,2.33333333,2.25,3.91666667,3.75,3.41666667,3.5,3.5,3.16666667
"6",6,2,3.41666667,1,1,4,5.058201058,0.060846561,0.329128699,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,3.222222222,4.777777778,2,3.333333333,2.35,2.5,1.65,47,50,33,4,4,4,4,5,4,5,5,5,4.25,4.08333333,4.08333333,3.75,3.75,3.25,3.08333333,3.41666667,3.16666667,2.33333333,1.91666667,2.16666667,3.5,3.33333333,3.08333333
"7",7,2,4.25,0,1,3,3.740740741,0.187830688,-1.425158759,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,4.333333333,4.333333333,3.333333333,4,2,1.55,2,40,31,40,6,6,4,4,5,6,9,8,8,3,3.25,3.5,2.83333333,2.41666667,3.33333333,3.5,3.25,3.83333333,3.08333333,3.41666667,2.41666667,3.83333333,4,4.25
"8",8,4,3.83333333,1,2,3,3.978835979,0.354497354,-0.828701023,3.222222222,3.916666667,4.138888889,3.5,3.333333333,1.42836051,0.950734632,0.456110096,-1.008779925,-0.334406039,2.666666667,2.222222222,2.555555556,2.481481481,2.35,2.25,2.55,47,45,51,1,1,1,1,1,1,1,1,1,3.58333333,3.66666667,3.25,4.33333333,4,4.08333333,4.33333333,3.58333333,3.83333333,3.16666667,3.33333333,3.16666667,3.41666667,3.16666667,3.41666667
"9",9,1,3.58333333,1,1,2,4.801587302,0.365079365,0.399300198,2.388888889,3.805555556,3.916666667,3.833333333,2.888888889,0.123266926,0.723642486,0.039672477,-0.225867759,-1.281218348,3.111111111,4,2.444444444,3.185185185,2.25,2.3,2,45,46,40,3,13,3,3,4,3,3,4,4,4,3.66666667,3.83333333,4.25,3.75,3.75,3.91666667,4,3.5,2.08333333,2.83333333,2.25,2.75,3,2.91666667
"10",10,NA,4.125,1,2,2,5.354497354,0.407407407,1.276443927,1.972222222,3.111111111,4.333333333,4.277777778,2.916666667,-0.529279866,-0.695683428,0.820493013,0.818015131,-1.222042579,3.5,3.625,3.111111111,3.412037037,2.3,2.55,2.1,46,51,42,3,4,13,4,7,4,3,3,3,4.33333333,4.25,4.25,4.16666667,4.75,4.08333333,3.16666667,3.58333333,2.58333333,1.83333333,1.66666667,2.41666667,2.91666667,3.08333333,2.75
